Sample number	SRA sample ID	SRA run ID	BioProject ID	Library layout	ENA fq URL 1	ENA fq URL 2	SRA URL	Source name	Tissue/cell type	Age	Sex
1	SRS4274464	SRR8467773	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467773/SRR8467773_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467773/SRR8467773_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467773.sralite.1	unknown/not stated	liver	6Mo	male
2	SRS4274463	SRR8467774	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467774/SRR8467774_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467774/SRR8467774_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467774.sralite.1	unknown/not stated	liver	9Mo	male
3	SRS4274462	SRR8467775	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467775/SRR8467775_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467775/SRR8467775_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467775.sralite.1	unknown/not stated	liver	9Mo	male
4	SRS4274461	SRR8467776	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467776/SRR8467776_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/006/SRR8467776/SRR8467776_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467776.sralite.1	unknown/not stated	liver	9Mo	male
5	SRS4274460	SRR8467777	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467777/SRR8467777_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/007/SRR8467777/SRR8467777_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467777.sralite.1	unknown/not stated	liver	9Mo	male
6	SRS4274459	SRR8467778	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/008/SRR8467778/SRR8467778_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/008/SRR8467778/SRR8467778_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467778.sralite.1	unknown/not stated	liver	27Mo	male
7	SRS4274458	SRR8467779	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/009/SRR8467779/SRR8467779_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/009/SRR8467779/SRR8467779_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467779.sralite.1	unknown/not stated	liver	18Mo	male
8	SRS4274457	SRR8467780	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/000/SRR8467780/SRR8467780_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/000/SRR8467780/SRR8467780_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467780.sralite.1	unknown/not stated	liver	18Mo	male
9	SRS4274456	SRR8467781	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/001/SRR8467781/SRR8467781_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/001/SRR8467781/SRR8467781_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467781.sralite.1	unknown/not stated	liver	21Mo	male
10	SRS4274455	SRR8467782	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/002/SRR8467782/SRR8467782_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/002/SRR8467782/SRR8467782_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/467/SRR8467782.sralite.1	unknown/not stated	liver	21Mo	male
11	SRS4274454	SRR8467783	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467783/SRR8467783_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/003/SRR8467783/SRR8467783_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467783.sralite.1	unknown/not stated	liver	18Mo	male
12	SRS4274453	SRR8467784	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467784/SRR8467784_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/004/SRR8467784/SRR8467784_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467784.sralite.1	unknown/not stated	liver	18Mo	male
13	SRS4274452	SRR8467785	PRJNA516151	PAIRED	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467785/SRR8467785_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR846/005/SRR8467785/SRR8467785_2.fastq.gz	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/467/SRR8467785.sralite.1	unknown/not stated	liver	18Mo	male
