Ensembl_id,Human_gene,HGNC_id,Fly_gene,FBgn
ENSG00000276410,H2BC3,HGNC:4751,His2B:CG33878,FBgn0053878
ENSG00000112337,SLC17A2,HGNC:10930,CG3649,FBgn0034785
ENSG00000163286,ALPG,HGNC:441,Alp7,FBgn0034710
ENSG00000169933,FRMPD4,HGNC:29007,CG42788,FBgn0261859
ENSG00000273802,H2BC8,HGNC:4746,His2B:CG33878,FBgn0053878
ENSG00000125375,DMAC2L,HGNC:18799,CG10731,FBgn0034081
ENSG00000023287,RB1CC1,HGNC:15574,Atg17,FBgn0037363
ENSG00000156970,BUB1B,HGNC:1149,BubR1,FBgn0263855
ENSG00000277224,H2BC7,HGNC:4752,His2B:CG33878,FBgn0053878
ENSG00000139567,ACVRL1,HGNC:175,wit,FBgn0024179
ENSG00000205423,CNEP1R1,HGNC:26759,CG8009,FBgn0036090
ENSG00000182333,LIPF,HGNC:6622,CG6753,FBgn0038070
ENSG00000115268,RPS15,HGNC:10388,RpS15,FBgn0034138
ENSG00000204022,LIPJ,HGNC:21773,CG6753,FBgn0038070
ENSG00000157036,EXOG,HGNC:3347,CG12917,FBgn0033490
ENSG00000007080,CCDC124,HGNC:25171,CG6013,FBgn0038675
ENSG00000107798,LIPA,HGNC:6617,CG6753,FBgn0038070
ENSG00000137700,SLC37A4,HGNC:4061,CG3649,FBgn0034785
ENSG00000165533,TTC8,HGNC:20087,BBS8,FBgn0031255
ENSG00000129991,TNNI3,HGNC:11947,wupA,FBgn0283471
ENSG00000146047,H2BC1,HGNC:18730,His2B:CG33878,FBgn0053878
ENSG00000124568,SLC17A1,HGNC:10929,CG3649,FBgn0034785
ENSG00000185883,ATP6V0C,HGNC:855,Vha16-5,FBgn0032294
ENSG00000233822,H2BC15,HGNC:4749,His2B:CG33878,FBgn0053878
ENSG00000130598,TNNI2,HGNC:11946,wupA,FBgn0283471
ENSG00000147234,FRMPD3,HGNC:29382,CG42788,FBgn0261859
ENSG00000065328,MCM10,HGNC:18043,Mcm10,FBgn0032929
ENSG00000278588,H2BC10,HGNC:4756,His2B:CG33878,FBgn0053878
ENSG00000119042,SATB2,HGNC:21637,dve,FBgn0020307
ENSG00000196890,H2BC26,HGNC:20514,His2B:CG33878,FBgn0053878
ENSG00000204843,DCTN1,HGNC:2711,CG9279,FBgn0036882
ENSG00000185130,H2BC13,HGNC:4748,His2B:CG33878,FBgn0053878
ENSG00000180596,H2BC4,HGNC:4757,His2B:CG33878,FBgn0053878
ENSG00000116761,CTH,HGNC:2501,Eip55E,FBgn0000566
ENSG00000135409,AMHR2,HGNC:465,wit,FBgn0024179
ENSG00000119899,SLC17A5,HGNC:10933,CG3649,FBgn0034785
ENSG00000148835,TAF5,HGNC:11539,Taf5,FBgn0010356
ENSG00000119661,DNAL1,HGNC:23247,CG10839,FBgn0028858
ENSG00000175193,PARL,HGNC:18253,rho-7,FBgn0033672
ENSG00000160190,SLC37A1,HGNC:11024,CG3649,FBgn0034785
ENSG00000166394,CYB5R2,HGNC:24376,CG5946,FBgn0036211
ENSG00000099364,FBXL19,HGNC:25300,CG9316,FBgn0032878
ENSG00000105676,ARMC6,HGNC:25049,CG5721,FBgn0034315
ENSG00000204021,LIPK,HGNC:23444,CG6753,FBgn0038070
ENSG00000173239,LIPM,HGNC:23455,CG6753,FBgn0038070
ENSG00000182568,SATB1,HGNC:10541,dve,FBgn0020307
ENSG00000163283,ALPP,HGNC:439,Alp7,FBgn0034710
ENSG00000204020,LIPN,HGNC:23452,CG6753,FBgn0038070
ENSG00000159173,TNNI1,HGNC:11945,wupA,FBgn0283471
ENSG00000198265,HELZ,HGNC:16878,Helz,FBgn0036451
ENSG00000169679,BUB1,HGNC:1148,BubR1,FBgn0263855
ENSG00000100243,CYB5R3,HGNC:2873,CG5946,FBgn0036211
ENSG00000163295,ALPI,HGNC:437,Alp7,FBgn0034710
ENSG00000166337,TAF10,HGNC:11543,Taf10b,FBgn0026324
ENSG00000187017,ESPN,HGNC:13281,f,FBgn0262111
ENSG00000158373,H2BC5,HGNC:4747,His2B:CG33878,FBgn0053878
ENSG00000112238,PRDM13,HGNC:13998,Prdm13,FBgn0035687
ENSG00000085415,SEH1L,HGNC:30379,Nup44A,FBgn0033247
ENSG00000181873,IBA57,HGNC:27302,CG8043,FBgn0037610
ENSG00000175216,CKAP5,HGNC:28959,msps,FBgn0027948
ENSG00000104888,SLC17A7,HGNC:16704,CG3649,FBgn0034785
ENSG00000273703,H2BC14,HGNC:4750,His2B:CG33878,FBgn0053878
ENSG00000070601,FRMPD1,HGNC:29159,CG42788,FBgn0261859
ENSG00000144488,ESPNL,HGNC:27937,f,FBgn0262111
ENSG00000162551,ALPL,HGNC:438,Alp7,FBgn0034710
ENSG00000274290,H2BC6,HGNC:4753,His2B:CG33878,FBgn0053878
ENSG00000162616,DNAJB4,HGNC:14886,CG7130,FBgn0037151
ENSG00000171130,ATP6V0E2,HGNC:21723,VhaM9.7-b,FBgn0028663
ENSG00000204843,DCTN1,HGNC:2711,DCTN1-p150,FBgn0001108
ENSG00000123975,CKS2,HGNC:2000,Cks30A,FBgn0010314
ENSG00000105669,COPE,HGNC:2234,epsilonCOP,FBgn0027496
ENSG00000075945,KIFAP3,HGNC:17060,Kap3,FBgn0028421
ENSG00000077943,ITGA8,HGNC:6144,ItgaPS5,FBgn0034880
ENSG00000164953,TMEM67,HGNC:28396,CG15923,FBgn0038814
ENSG00000161638,ITGA5,HGNC:6141,ItgaPS5,FBgn0034880
ENSG00000143127,ITGA10,HGNC:6135,ItgaPS5,FBgn0034880
ENSG00000116176,TPSG1,HGNC:14134,CG9294,FBgn0034666
ENSG00000116096,SPR,HGNC:11257,Sptr,FBgn0014032
ENSG00000167114,SLC27A4,HGNC:10998,CG18586,FBgn0035642
ENSG00000137809,ITGA11,HGNC:6136,ItgaPS5,FBgn0034880
ENSG00000197114,ZGPAT,HGNC:15948,CG4709,FBgn0032169
ENSG00000144668,ITGA9,HGNC:6145,ItgaPS5,FBgn0034880
ENSG00000075089,ACTR6,HGNC:24025,Arp6,FBgn0011741
ENSG00000164398,ACSL6,HGNC:16496,CG18586,FBgn0035642
ENSG00000169718,DUS1L,HGNC:30086,CG3645,FBgn0031238
ENSG00000124564,SLC17A3,HGNC:10931,CG3649,FBgn0034785
ENSG00000083457,ITGAE,HGNC:6147,ItgaPS5,FBgn0034880
ENSG00000146039,SLC17A4,HGNC:10932,CG3649,FBgn0034785
ENSG00000172236,TPSAB1,HGNC:12019,CG9294,FBgn0034666
ENSG00000138448,ITGAV,HGNC:6150,ItgaPS5,FBgn0034880
ENSG00000160799,CCDC12,HGNC:28332,CG15525,FBgn0039732
ENSG00000197548,ATG7,HGNC:16935,Atg7,FBgn0034366
ENSG00000110446,SLC15A3,HGNC:18068,yin,FBgn0265575
ENSG00000173207,CKS1B,HGNC:19083,Cks30A,FBgn0010314
ENSG00000140284,SLC27A2,HGNC:10996,CG18586,FBgn0035642
ENSG00000115232,ITGA4,HGNC:6140,ItgaPS5,FBgn0034880
ENSG00000095917,TPSD1,HGNC:14118,CG9294,FBgn0034666
ENSG00000005884,ITGA3,HGNC:6139,ItgaPS5,FBgn0034880
ENSG00000143554,SLC27A3,HGNC:10997,CG18586,FBgn0035642
ENSG00000179520,SLC17A8,HGNC:20151,CG3649,FBgn0034785
ENSG00000068366,ACSL4,HGNC:3571,CG18586,FBgn0035642
ENSG00000135424,ITGA7,HGNC:6143,ItgaPS5,FBgn0034880
ENSG00000113732,ATP6V0E1,HGNC:863,VhaM9.7-b,FBgn0028663
ENSG00000164171,ITGA2,HGNC:6137,ItgaPS5,FBgn0034880
ENSG00000151726,ACSL1,HGNC:3569,CG18586,FBgn0035642
ENSG00000172831,CES2,HGNC:1864,Gli,FBgn0001987
ENSG00000083807,SLC27A5,HGNC:10999,CG18586,FBgn0035642
ENSG00000172613,RAD9A,HGNC:9827,Rad9,FBgn0025807
ENSG00000169896,ITGAM,HGNC:6149,ItgaPS5,FBgn0034880
ENSG00000151164,RAD9B,HGNC:21700,Rad9,FBgn0025807
ENSG00000203896,LIME1,HGNC:26016,CG4709,FBgn0032169
ENSG00000091409,ITGA6,HGNC:6142,ItgaPS5,FBgn0034880
ENSG00000123983,ACSL3,HGNC:3570,CG18586,FBgn0035642
ENSG00000130304,SLC27A1,HGNC:10995,CG18586,FBgn0035642
ENSG00000130377,ACSBG2,HGNC:24174,CG18586,FBgn0035642
ENSG00000143627,PKLR,HGNC:9020,CG2964,FBgn0031462
ENSG00000145439,CBR4,HGNC:25891,Adhr,FBgn0000056
ENSG00000005844,ITGAL,HGNC:6148,ItgaPS5,FBgn0034880
ENSG00000113396,SLC27A6,HGNC:11000,CG18586,FBgn0035642
ENSG00000156886,ITGAD,HGNC:6146,ItgaPS5,FBgn0034880
ENSG00000103740,ACSBG1,HGNC:29567,CG18586,FBgn0035642
ENSG00000005961,ITGA2B,HGNC:6138,ItgaPS5,FBgn0034880
ENSG00000213949,ITGA1,HGNC:6134,ItgaPS5,FBgn0034880
ENSG00000140678,ITGAX,HGNC:6152,ItgaPS5,FBgn0034880
ENSG00000198848,CES1,HGNC:1863,Gli,FBgn0001987
ENSG00000159398,CES5A,HGNC:26459,Gli,FBgn0001987
ENSG00000067225,PKM,HGNC:9021,CG2964,FBgn0031462
ENSG00000197253,TPSB2,HGNC:14120,CG9294,FBgn0034666
ENSG00000011295,TTC19,HGNC:26006,Ttc19,FBgn0032744
ENSG00000130956,HABP4,HGNC:17062,PPYR1,FBgn0030623
ENSG00000119125,GDA,HGNC:4212,DhpD,FBgn0261436
ENSG00000102055,PPP1R2C,HGNC:16324,CG12620,FBgn0032626
ENSG00000183977,PP2D1,HGNC:28406,Pdp,FBgn0029958
ENSG00000132825,PPP1R3D,HGNC:9294,Gbs-70E,FBgn0036428
ENSG00000085276,MECOM,HGNC:3498,ham,FBgn0045852
ENSG00000066084,DIP2B,HGNC:29284,DIP2,FBgn0024806
ENSG00000166035,LIPC,HGNC:6619,CG6675,FBgn0032973
ENSG00000222009,BTBD19,HGNC:27145,axed,FBgn0035708
ENSG00000168411,RFWD3,HGNC:25539,CG33552,FBgn0053552
ENSG00000160190,SLC37A1,HGNC:11024,MFS15,FBgn0034392
ENSG00000101670,LIPG,HGNC:6623,CG6675,FBgn0032973
ENSG00000266200,PNLIPRP2,HGNC:9157,CG6675,FBgn0032973
ENSG00000135597,REPS1,HGNC:15578,Dap160,FBgn0023388
ENSG00000197771,MCMBP,HGNC:25782,CG3430,FBgn0031875
ENSG00000124780,KCNK17,HGNC:14465,Task7,FBgn0037690
ENSG00000171303,KCNK3,HGNC:6278,Task7,FBgn0037690
ENSG00000135750,KCNK1,HGNC:6272,Task7,FBgn0037690
ENSG00000174738,NR1D2,HGNC:7963,EcR,FBgn0000546
ENSG00000110422,HIPK3,HGNC:4915,Hipk,FBgn0035142
ENSG00000111110,PPM1H,HGNC:18583,Pdp,FBgn0029958
ENSG00000166105,GLB1L3,HGNC:25147,Ect3,FBgn0260746
ENSG00000179981,TSHZ1,HGNC:10669,tio,FBgn0028979
ENSG00000049769,PPP1R3F,HGNC:14944,Gbs-70E,FBgn0036428
ENSG00000164626,KCNK5,HGNC:6280,Task7,FBgn0037690
ENSG00000182450,KCNK4,HGNC:6279,Task7,FBgn0037690
ENSG00000156239,N6AMT1,HGNC:16021,HemK2,FBgn0031454
ENSG00000126368,NR1D1,HGNC:7962,EcR,FBgn0000546
ENSG00000164951,PDP1,HGNC:9279,Pdp,FBgn0029958
ENSG00000100614,PPM1A,HGNC:9275,Pdp,FBgn0029958
ENSG00000126351,THRA,HGNC:11796,EcR,FBgn0000546
ENSG00000122687,MRM2,HGNC:16352,CG11447,FBgn0038737
ENSG00000182463,TSHZ2,HGNC:13010,tio,FBgn0028979
ENSG00000163521,GLB1L,HGNC:28129,Ect3,FBgn0260746
ENSG00000184261,KCNK12,HGNC:6274,Task7,FBgn0037690
ENSG00000149428,HYOU1,HGNC:16931,CG2918,FBgn0023529
ENSG00000151240,DIP2C,HGNC:29150,DIP2,FBgn0024806
ENSG00000156574,NODAL,HGNC:7865,mav,FBgn0039914
ENSG00000144837,PLA1A,HGNC:17661,CG6675,FBgn0032973
ENSG00000108465,CDK5RAP3,HGNC:18673,CG30291,FBgn0050291
ENSG00000137076,TLN1,HGNC:11845,rhea,FBgn0260442
ENSG00000025434,NR1H3,HGNC:7966,EcR,FBgn0000546
